Fecha,Semana,Marca,Formato,Título de pieza,Necesita thumbnail,Pleca thumbnail (IG/TikTok),Plataformas,Quién produce,Quién publica,Status,Link copy,Observaciones
2026-03-23,S1,BÁSICO.FM,Video Alberto,G01 — Tu agencia te enseña el dashboard. ¿En cuánto se convirtió en tu caja?,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-03-23,S1,LOS DIOSES DEL MARKETING,Video,T1 · Cara a Cara: ¿Vale más la confianza del empleado que la del CEO como cara de una marca?,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 1 V1_LOS_DIOSES
2026-03-23,S1,GENIO.SOY,Teaser,Pieza 02 — ¿Cuándo fue la última vez que alguien te recomendó una canción?,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Caption: Alguien. No algo. genio.soy
2026-03-24,S1,LOS DIOSES DEL MARKETING,HERO,Ana Paula Elías,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-03-25,S1,BÁSICO.FM,Periodiquito,Por qué el director de marketing dura la mitad que el CEO,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,T3 · Seg. A · 5 slides · Spencer Stuart + Gartner
2026-03-25,S1,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-03-26,S1,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Listo,PENDIENTE,Ya entregado
2026-03-26,S1,LOS DIOSES DEL MARKETING,HERO,Salomón Mervich,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-03-26,S1,GENIO.SOY,Teaser,Pieza 03 — Recomiéndame una canción,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-27,S1,BÁSICO.FM,Video Fernanda,G02 — La percepción manda,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Eric produce primero
2026-03-27,S1,LOS DIOSES DEL MARKETING,Periodiquito,Tu audiencia ya decidió que le estás mintiendo,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Edelman Trust Barometer 2025
2026-03-29,S1,LOS DIOSES DEL MARKETING,Hot Take,El brief más peligroso es el que todos entendieron diferente,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-30,S2,BÁSICO.FM,Video Alberto,G02 — IKEA: el recorrido de 1.5 km y el Efecto Gruen,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-03-30,S2,LOS DIOSES DEL MARKETING,Video,T2 · El Veredicto: Whataburger despidió al empleado que generaba millones de vistas orgánicas gratis,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 2 V1_LOS_DIOSES
2026-03-30,S2,GENIO.SOY,Teaser,Pieza 04 — Hay mexicanos haciendo muy buena música,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-03-31,S2,LOS DIOSES DEL MARKETING,HERO,Juan Pablo Robert,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-01,S2,BÁSICO.FM,Dato Visual,El 95% de las marcas comunica. El 5% se posiciona.,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Lippincott + Kantar BrandZ
2026-04-01,S2,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-02,S2,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S2 · Clip por seleccionar
2026-04-02,S2,LOS DIOSES DEL MARKETING,HERO,Anette Cuburu,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-02,S2,GENIO.SOY,Teaser,Pieza 05 — La música es mejor cuando la sentimos juntos,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-03,S2,BÁSICO.FM,Video Fernanda,G01 — Antes de que hables,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
2026-04-03,S2,LOS DIOSES DEL MARKETING,Periodiquito,El 86% de las marcas usa IA. Y ya se nota.,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Jacquard + Semrush 2025
2026-04-05,S2,LOS DIOSES DEL MARKETING,Hot Take,No tienes un problema de awareness. Tienes un problema de argumento.,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,
2026-04-06,S3,BÁSICO.FM,Video Alberto,G03 — Netflix no te recomienda lo que te gusta. Te recomienda lo que vas a terminar.,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-04-06,S3,LOS DIOSES DEL MARKETING,Video,T3 · Lo que no salió en el brief: OXXO sabe lo que vas a comprar antes de que tú lo sepas,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 3 V1_LOS_DIOSES
2026-04-06,S3,GENIO.SOY,Teaser,Pieza 06 — Los que saben de música ya saben lo que viene,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-07,S3,LOS DIOSES DEL MARKETING,HERO,Arturo López Gavito,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-08,S3,BÁSICO.FM,Dato Visual,La confianza tiene precio exacto en una negociación,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,T4 · Weber Shandwick + Edelman-LinkedIn · PAUTAR
2026-04-08,S3,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-09,S3,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S3 · Clip por seleccionar
2026-04-09,S3,LOS DIOSES DEL MARKETING,HERO,Daniela Loera · Ferrari,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-09,S3,GENIO.SOY,Teaser,Pieza 07 — No es para todos. Es para los que todavía se emocionan con una canción.,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-10,S3,BÁSICO.FM,Video Fernanda,G03 — La campaña empieza antes,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
2026-04-10,S3,LOS DIOSES DEL MARKETING,Periodiquito,Recortar marketing en crisis es la decisión más cara que parece barata,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,McGraw-Hill / HBR
2026-04-12,S3,LOS DIOSES DEL MARKETING,Hot Take,Marketing sin acceso al CEO no es marketing. Es decoración.,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-13,S4,BÁSICO.FM,Video Alberto,G05 — Yo lo viví: el cliente llegó con brief claro. Y algo no me cuadraba.,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: Yo lo viví
2026-04-13,S4,LOS DIOSES DEL MARKETING,Video,T4 · Lo que no salió en el brief: México es el primer país de LatAm donde TikTok vende,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Tema 4 V1_LOS_DIOSES
2026-04-13,S4,GENIO.SOY,Teaser,Pieza 08 — Un día de abril.,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Antesala lanzamiento
2026-04-14,S4,LOS DIOSES DEL MARKETING,HERO,Patrick Lassauzet · SHEIN,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-15,S4,BÁSICO.FM,Periodiquito,Lo que se pierde cuando marketing y ventas no hablan el mismo idioma,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Forrester 2024
2026-04-15,S4,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-16,S4,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S4 · Clip por seleccionar
2026-04-16,S4,LOS DIOSES DEL MARKETING,HERO,Alfredo Delgadillo,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-16,S4,GENIO.SOY,Teaser,Pieza 09 — La mejor música siempre la conociste por alguien más.,Sí,PENDIENTE,IG · TikTok,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Última pieza teaser
2026-04-17,S4,BÁSICO.FM,Video Fernanda,G04 — Lo que proyectas,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
2026-04-17,S4,LOS DIOSES DEL MARKETING,Periodiquito,La campaña que todos aprobaron y nadie quería,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Cannes Lions 2024
2026-04-19,S4,LOS DIOSES DEL MARKETING,Hot Take,La mejor campaña que tu marca hizo nunca fue aprobada,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,
2026-04-20,S5,BÁSICO.FM,Video Alberto,G06 — Un pit stop en F1 dura dos segundos. Lo que no ves es lo que pasa antes.,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,PAUTAR
2026-04-20,S5,LOS DIOSES DEL MARKETING,Video,T5 · Se la Comieron: Los Olímpicos usaron IA para sus redes y el público los destruyó en segundos,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Por grabar,PENDIENTE,Sesión grabación semana 13 abr
2026-04-21,S5,LOS DIOSES DEL MARKETING,HERO,Armando Calvillo · OCESA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica · Perfil rector Seg. A
2026-04-21,S5,GENIO.SOY,Tocadiscos,G04 — PinkPantheress: primera mujer en 49 años en ganar Productora del Año · BRITs,Sí,PENDIENTE,IG · TikTok,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Solo en Genio · Sujeto a plataforma lista
2026-04-22,S5,BÁSICO.FM,Dato Visual,Lo que tu empresa comunica cuando no está comunicando,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,"Weber Shandwick · 2,227 ejecutivos"
2026-04-22,S5,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-23,S5,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S5 · Clip por seleccionar
2026-04-23,S5,LOS DIOSES DEL MARKETING,HERO,Ruy Serrano · Cinépolis,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-24,S5,BÁSICO.FM,Video Fernanda,G05 — El dato que decide,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
2026-04-24,S5,LOS DIOSES DEL MARKETING,Periodiquito,1 de cada 3 clientes descubrió una marca nueva en ChatGPT,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Adobe Survey 2025
2026-04-26,S5,LOS DIOSES DEL MARKETING,Hot Take,Tu competidor más peligroso no tiene tu presupuesto. Tiene criterio.,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,
2026-04-27,S6,BÁSICO.FM,Video Alberto,G07 — La indiferencia: tu competencia real no tiene nombre.,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Franquicia: No es lo que crees
2026-04-27,S6,LOS DIOSES DEL MARKETING,Video,T6 · Cara a Cara: ¿La IA está matando la voz de marca o solo a los mediocres?,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Erick Magaña,Alberto Cruz,Por grabar,PENDIENTE,Sesión grabación semana 13 abr
2026-04-28,S6,LOS DIOSES DEL MARKETING,HERO,Valeria Escalona · Hamilton,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-04-29,S6,BÁSICO.FM,Periodiquito,Lo que el líder operativo que responde haters le cuesta a su empresa,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,PwC · Caso Hawkers/Checo · PAUTAR
2026-04-29,S6,LOS DIOSES DEL MARKETING,Teaser programa,Teaser del programa — Spotify / Radio Real,No,—,IG · FB · LinkedIn,,Alberto Cruz,Listo,PENDIENTE,Día de emisión
2026-04-30,S6,BÁSICO.FM,Material IA,Material IA — Los Dioses de la IA,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Alberto Cruz,Alberto Cruz,Por producir,PENDIENTE,S6 · Clip por seleccionar
2026-04-30,S6,LOS DIOSES DEL MARKETING,HERO,Mariana Gutiérrez · Fútbol Femenil,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB · LinkedIn,Ximena GB,Alberto Cruz,Listo,PENDIENTE,Con pauta · Alberto publica
2026-05-01,S6,BÁSICO.FM,Video Fernanda,G06,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,
2026-05-01,S6,LOS DIOSES DEL MARKETING,Periodiquito,La IA no premia al más grande. Premia al más claro.,No,—,IG · FB · LinkedIn,Zara Sánchez,Alberto Cruz,Listo,PENDIENTE,Princeton / Georgia Tech · Caso Tally
2026-05-03,S6,LOS DIOSES DEL MARKETING,Hot Take,Llevas tres años midiendo engagement. ¿Cuánto creció tu negocio?,No,—,IG · FB · LinkedIn,Karla Caratachea,Alberto Cruz,Listo,PENDIENTE,Cierre 6 semanas
2026-05-08,S7,BÁSICO.FM,Video Fernanda,G07 — La percepción manda (Mes 2),Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S7: por definir
2026-05-15,S8,BÁSICO.FM,Video Fernanda,G08 — Así se comunica en público (Mes 2),Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S8: por definir
2026-05-22,S9,BÁSICO.FM,Video Fernanda,G09 — La percepción manda · Mes 2 cierre,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S9: por definir
2026-05-29,S10,BÁSICO.FM,Video Fernanda,G10 — La campaña empieza antes (Mes 3),Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S10: por definir
2026-06-05,S11,BÁSICO.FM,Video Fernanda,G11 — El dato que decide (Mes 3),Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S11: por definir
2026-06-12,S12,BÁSICO.FM,Video Fernanda,G12 — Así se comunica en público · Mes 3 cierre,Sí,PENDIENTE,IG · TikTok · YT Shorts · FB,Erick Magaña,Alberto Cruz,Listo,PENDIENTE,Resto del ecosistema S12: por definir
